Fall Activity,Rating,Time Commitment(hours),Month
pumpkin patch,80,2,October
apple picking ,73,3,September
trick or treating ,77,4,October
jump in leaves,44,1,November
watch scary movie ,65,2,October
drink hot chocolate ,76,1,November
visit a haunted house ,66,2,October
eat pie,67,2,November
visit a carnival ,64,4,September
bob for apples ,33,1,September
enjoy a bonfire,67,2,November
pumpkin carving ,73,3,October
hiking,75,2,September
corn maze,27,2,September
watch football,80,4,November
drink cider,56,1,November
have a picnic,77,1,September
